time_step,fair_value,bid_price,ask_price,spread,order_type,trade_executed,trade_size,starting_inventory,ending_inventory,inventory,starting_cash,ending_cash,cash,pnl
62,99.96765883104665,99.36765883104665,101.36765883104665,2.0,buy,True,1,-4,-5,-5,443.49041875662294,544.8580775876696,544.8580775876696,45.019783432436384
63,100.30561438763921,99.80561438763921,101.80561438763921,2.0,buy,True,1,-5,-6,-6,544.8580775876696,646.6636919753089,646.6636919753089,44.830005649473605
64,101.17664286880056,100.77664286880055,102.77664286880055,2.0,buy,True,1,-6,-7,-7,646.6636919753089,749.4403348441094,749.4403348441094,41.203834762505494
65,101.74588171738206,101.44588171738206,103.44588171738206,2.0,none,False,0,-7,-7,-7,749.4403348441094,749.4403348441094,749.4403348441094,37.21916282243501
66,101.12670154610582,100.82670154610582,102.82670154610582,2.0,buy,True,1,-7,-8,-8,749.4403348441094,852.2670363902153,852.2670363902153,43.25342402136869
67,100.97385879214566,100.77385879214566,102.77385879214566,2.0,sell,True,1,-8,-7,-7,852.2670363902153,751.4931775980696,751.4931775980696,44.67616605304988
68,101.32058788673227,101.02058788673227,103.02058788673227,2.0,none,False,0,-7,-7,-7,751.4931775980696,751.4931775980696,751.4931775980696,42.249062390943664
69,100.51742362903619,100.21742362903619,102.21742362903619,2.0,buy,True,1,-7,-8,-8,751.4931775980696,853.7106012271057,853.7106012271057,49.57121219481621
70,101.24076870174177,101.04076870174177,103.04076870174177,2.0,buy,True,1,-8,-9,-9,853.7106012271057,956.7513699288475,956.7513699288475,45.584451613171495
71,101.13799579740804,101.03799579740804,103.03799579740804,2.0,buy,True,1,-9,-10,-10,956.7513699288475,1059.7893657262555,1059.7893657262555,48.40940775217507
72,100.63760869317224,100.63760869317224,102.63760869317224,2.0,none,False,0,-10,-10,-10,1059.7893657262555,1059.7893657262555,1059.7893657262555,53.413278794533085
73,100.52387018327916,100.52387018327916,102.52387018327916,2.0,none,False,0,-10,-10,-10,1059.7893657262555,1059.7893657262555,1059.7893657262555,54.550663893463934
74,100.62452080817886,100.62452080817886,102.62452080817886,2.0,sell,True,1,-10,-9,-9,1059.7893657262555,959.1648449180766,959.1648449180766,53.54415764446685
75,101.29657597833877,101.19657597833877,103.19657597833877,2.0,none,False,0,-9,-9,-9,959.1648449180766,959.1648449180766,959.1648449180766,47.49566111302772
76,102.14930994435502,102.04930994435503,104.04930994435503,2.0,none,False,0,-9,-9,-9,959.1648449180766,959.1648449180766,959.1648449180766,39.821055418881315
77,101.48193216556285,101.38193216556286,103.38193216556286,2.0,buy,True,1,-9,-10,-10,959.1648449180766,1062.5467770836394,1062.5467770836394,47.7274554280109
